City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pihani,27.6333,80.2,37.22,42,93,2.8,IN,1690879490
1,blackmans bay,-43.0167,147.3167,8.16,74,38,2.32,AU,1690879490
2,manokwari,-0.8667,134.0833,27.69,78,47,1.44,ID,1690879491
3,jamestown,42.097,-79.2353,13.73,100,75,1.54,US,1690879491
4,ngetkib,7.3645,134.5148,28.14,89,75,3.09,PW,1690879492
5,noshiro,40.2039,140.0242,27.46,81,92,1.54,JP,1690879492
6,bethel,41.3712,-73.414,18.17,76,0,1.54,US,1690879492
7,namibe,-15.1961,12.1522,22.74,51,71,2.41,AO,1690879493
8,el alto,-4.2714,-81.2147,19.59,84,20,2.07,PE,1690879493
9,nemuro,43.3236,145.575,16.35,97,100,4.43,JP,1690879493
10,ushuaia,-54.8,-68.3,2.81,75,0,1.03,AR,1690879494
11,adamstown,-25.066,-130.1015,19.83,60,89,10.27,PN,1690879494
12,longyearbyen,78.2186,15.6401,9.91,62,75,1.03,SJ,1690879494
13,mildura,-34.2,142.15,11.71,73,0,1.92,AU,1690879495
14,puerto ayora,-0.7393,-90.3518,23.64,95,79,2.61,EC,1690879495
15,san miguel,13.4833,-88.1833,23.18,98,93,1.51,SV,1690879496
16,vadso,70.0744,29.7487,11.09,93,75,6.69,NO,1690879496
17,lihue,21.9789,-159.3672,26.77,77,20,5.66,US,1690879496
18,preston,53.7667,-2.7167,17.04,94,75,6.17,GB,1690879497
19,grytviken,-54.2811,-36.5092,-4.25,82,13,5.03,GS,1690879497
20,muana,-1.5283,-49.2167,23.41,94,0,1.41,BR,1690879497
21,sanniquellie,7.3622,-8.7061,22.77,94,99,1.25,LR,1690879498
22,luderitz,-26.6481,15.1594,20.06,28,0,6.22,NA,1690879498
23,atafu village,-8.5421,-172.5159,28.77,75,20,6.63,TK,1690879498
24,port-aux-francais,-49.35,70.2167,6.12,94,99,13.28,TF,1690879499
25,iskateley,67.6803,53.1512,28.68,46,58,4.26,RU,1690879499
26,polyarnyy,69.1989,33.4478,13.28,90,100,5.02,RU,1690879500
27,severo-yeniseyskiy,60.3725,93.0408,21.79,74,79,2.18,RU,1690879500
28,sumenep,-7.0167,113.8667,28.59,64,27,6.83,ID,1690879500
29,edinburgh of the seven seas,-37.0676,-12.3116,14.57,90,77,13.47,SH,1690879501
30,choyr,46.3611,108.3611,24.52,48,95,5.13,MN,1690879501
31,iqaluit,63.7506,-68.5145,5.85,93,75,2.06,CA,1690879502
32,tolanaro,-25.0319,46.9987,26.04,57,0,3.09,MG,1690879502
33,tazovsky,67.4667,78.7,21.61,62,7,4.82,RU,1690879503
34,whitehorse,60.7161,-135.0538,15.43,85,75,1.54,CA,1690879503
35,invercargill,-46.4,168.35,6.68,79,100,6.26,NZ,1690879504
36,betio village,1.358,172.9211,28.02,75,100,3.79,KI,1690879504
37,sitka,57.0531,-135.33,14.94,88,100,3.6,US,1690879505
38,bredasdorp,-34.5322,20.0403,12.39,59,35,1.85,ZA,1690879505
39,ambovombe,-25.1667,46.0833,23.48,62,88,6.01,MG,1690879506
40,newman,37.3138,-121.0208,23.49,67,98,2.28,US,1690879506
41,swellendam,-34.0226,20.4417,12.32,56,39,0.93,ZA,1690879507
